ch_id, size, live_in, live_out, fan_in, fan_out, MEM_LD, MEM_ST, MEM_ALLOCA, other, level
0, 1, 0, 19, 0, 19, 0, 0, 0, 0, 0
1, 3, 3, 1, 3, 1, 0, 0, 0, 0, 3
2, 2, 2, 1, 2, 1, 0, 0, 0, 0, 3
3, 2, 1, 1, 1, 1, 0, 0, 0, 0, 1
4, 2, 1, 1, 1, 1, 0, 0, 0, 0, 1
5, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1
6, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1
7, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1
8, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1
9, 7, 3, 1, 3, 1, 0, 0, 0, 0, 2
10, 3, 2, 1, 2, 1, 0, 0, 0, 0, 2
11, 4, 3, 0, 3, 0, 0, 0, 0, 0, 3
12, 6, 2, 2, 2, 2, 0, 0, 0, 0, 2
13, 4, 2, 0, 2, 0, 0, 0, 0, 0, 4
14, 3, 3, 0, 3, 0, 0, 0, 0, 0, 4
15, 2, 1, 1, 1, 1, 0, 0, 0, 0, 1
16, 2, 1, 1, 1, 1, 0, 0, 0, 0, 1
17, 4, 3, 0, 3, 0, 0, 0, 0, 0, 3
18, 3, 2, 1, 2, 1, 0, 0, 0, 0, 2
19, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1
